key,it
card.discoverMore,Scopri di più
card.linkCopied,Link copiato negli appunti
card.close,Chiudi
card.copyPrompt,Copia il link della card:
globalSearch.searchByUnione,Cerca per unione
globalSearch.category,Categoria
globalSearch.allCategories,Tutte le categorie
filter.search,Cerca per {field}
filter.clear,Cancella
list.total,Totale
list.itemsCount,"{count, plural, =0 {Nessun comune} one {1 comune} other {# comuni}}"
segmentedBar.populationDistribution,Distribuzione popolazione: {title}
chart.projectsByComune,Numero di progetti per comune
chart.treemap,Treemap
chart.map,Mappa
chart.population,Popolazione
cardDescrizione.detail,Dettaglio intervento
dataStory.populationByComune,Popolazione per comune
dataStory.populationByComuneStacked,Popolazione per comune (stacked bars)
dataStory.populationTrendByComune,Andamento popolazione per comune
dataStory.totalAreaPopulation,Popolazione totale dell'area
pages.dataStoriesPlaceholder,data-stories works!
pages.mapViewPlaceholder,map-view works!
storyLaneInterventi.societa.title,Cosa dicono i dati degli interventi
storyLaneInterventi.cultura.title,Cosa dicono i dati degli interventi
storyLaneInterventi.ambiente.title,Cosa dicono i dati degli interventi
storyLaneInterventi.economia.title,Cosa dicono i dati degli interventi
storyLaneIstat.societa.title,Cosa dicono i dati pubblici
storyLaneIstat.cultura.title,Cosa dicono i dati pubblici
storyLaneIstat.ambiente.title,Cosa dicono i dati pubblici
storyLaneIstat.economia.title,Cosa dicono i dati pubblici
numero_edifici_accessibili_n,Accessibili
numero_edifici_con_ascensore_disabili_n,Ascensore disabili
numero_edifici_con_cert_agibilita_n,Certificazione agibilità
numero_edifici_con_cpi_n,CPI
presenze_italiane_n,Italia
presenze_straniere_n,Estero
uso_suolo_acque_kmq,Acque km²
uso_suolo_agricolo_kmq,Agricolo km²
uso_suolo_artificiale_kmq,Artificiale km²
uso_suolo_bosco_kmq,Bosco km²
